"lwr","med","upr","metric","mod","method"
0.443862397790566,0.450937381015102,0.458243526388807,"nll","ci","log-linear"
0.0247285563934884,0.0253431857842711,0.0260187942172566,"rps","ci","log-linear"
0.0528380143224428,0.0558942325741123,0.0591720025255623,"eqwk","ci","log-linear"
0.100130866831025,0.103300779380474,0.106473580172064,"eacc","ci","log-linear"
-0.0207286592574359,0.00333226472397088,0.0251933708914888,"cint","ci","log-linear"
1.53277968303102,1.56664812304751,1.60383394652384,"cslope","ci","log-linear"
