"","bin","prop","lwr","upr","cases","midpoint","method","mod","weights"
"1",NA,0.00037037037037037,9.37657025753339e-06,0.0129110055113795,0.111111111111111,0.00511143095168295,"linear","ci","equal"
"2",NA,0.00578013126307378,0.00313288956907291,0.0129403343021632,15.4074074074074,0.0635859033972388,"linear","ci","equal"
"3",NA,0.0595573508337477,0.0335222640788697,0.105095780314764,14.6666666666667,0.170311986384984,"linear","ci","equal"
"4",NA,0.144806726858595,0.0859303713350438,0.234196410943031,17.2962962962963,0.27703806937273,"linear","ci","equal"
"5",NA,0.276112416287892,0.183190245054587,0.39911696639806,23.7592592592593,0.383764152360476,"linear","ci","equal"
"6",NA,0.456635406788422,0.328894658958148,0.593615107454106,33.4814814814815,0.490490235348222,"linear","ci","equal"
"7",NA,0.632117459182977,0.505222459045572,0.750392520550039,51.3703703703704,0.597216318335967,"linear","ci","equal"
"8",NA,0.79382186324564,0.693066941155143,0.87456416919004,90.3703703703704,0.703942401323713,"linear","ci","equal"
"9",NA,0.926901953819187,0.876603453634919,0.960608307882249,227.555555555556,0.810668484311459,"linear","ci","equal"
"10",NA,0.989761591722551,0.977701117572584,0.995648878991677,2194.44444444444,0.917394567299204,"linear","ci","equal"
"11",NA,0.998765432098765,0.985542688492443,0.999911465948503,299.62962962963,0.985378804396539,"linear","ci","equal"
"12",NA,0.000432098765432099,1.09393319671223e-05,0.0130260106475605,0.12962962962963,0.00476174224383791,"linear","ci","tuned"
"13",NA,0.00638577810066541,0.0033866608792307,0.013820009725539,16.5185185185185,0.0631182851128086,"linear","ci","tuned"
"14",NA,0.0624828173333582,0.0351931043244302,0.110352388813009,14.3148148148148,0.170307886363074,"linear","ci","tuned"
"15",NA,0.149915239212147,0.0884078322459888,0.24243229036589,16.4074074074074,0.27749748761334,"linear","ci","tuned"
"16",NA,0.279547014912908,0.181816173058577,0.409096152628181,21.9444444444444,0.384687088863605,"linear","ci","tuned"
"17",NA,0.471462173881028,0.342146738571557,0.61268968402835,32.9074074074074,0.49187669011387,"linear","ci","tuned"
"18",NA,0.629733525590068,0.499351503234187,0.750915461494511,47.537037037037,0.599066291364136,"linear","ci","tuned"
"19",NA,0.789047355560434,0.684868001107289,0.872428545417865,84.4074074074074,0.706255892614401,"linear","ci","tuned"
"20",NA,0.92704151245324,0.87560164613563,0.961255023428824,215.87037037037,0.813445493864667,"linear","ci","tuned"
"21",NA,0.990033709691444,0.97848359101912,0.995643564216539,2218.40740740741,0.920635095114932,"linear","ci","tuned"
"22",NA,0.998827160493827,0.985657693628624,0.999913028710213,299.648148148148,0.987114947870033,"linear","ci","tuned"
"23",NA,0.00037037037037037,9.37657025753339e-06,0.0129110055113795,0.111111111111111,0.00512276649640622,"log-linear","ci","equal"
"24",NA,0.00573936696085342,0.00309571776727359,0.0129181381920975,15.2222222222222,0.0637086886171912,"log-linear","ci","equal"
"25",NA,0.0578985873809799,0.0322404038796576,0.103259412423178,14.1111111111111,0.170634999865949,"log-linear","ci","equal"
"26",NA,0.140471139412247,0.0825405385538163,0.229706730079522,16.6851851851852,0.277561311114706,"log-linear","ci","equal"
"27",NA,0.260650426893305,0.171668896403733,0.382849300279255,22.3518518518519,0.384487622363464,"log-linear","ci","equal"
"28",NA,0.434925315043061,0.307342099422331,0.57469776362912,31,0.491413933612222,"log-linear","ci","equal"
"29",NA,0.60782989905443,0.477020980452576,0.731747496373861,47.4444444444444,0.598340244860979,"log-linear","ci","equal"
"30",NA,0.774687281534943,0.670928535465299,0.859782185220172,84.6481481481482,0.705266556109737,"log-linear","ci","equal"
"31",NA,0.913557370674618,0.858636235552887,0.951591176810086,212.518518518519,0.812192867358494,"log-linear","ci","equal"
"32",NA,0.989227388981473,0.977473809936,0.99515880032518,2224.37037037037,0.919119178607252,"log-linear","ci","equal"
"33",NA,0.998765432098765,0.985542688492443,0.999911465948503,299.62962962963,0.986291167115815,"log-linear","ci","equal"
"34",NA,0.000432098765432099,1.09393319671223e-05,0.0130260106475605,0.12962962962963,0.00475591773561763,"log-linear","ci","tuned"
"35",NA,0.00633137011232484,0.00334643302088599,0.0137590458549323,16.3703703703704,0.0631518919954014,"log-linear","ci","tuned"
"36",NA,0.0608928821805859,0.0339096743724566,0.108625011594435,13.8888888888889,0.170432005043734,"log-linear","ci","tuned"
"37",NA,0.148045877670845,0.0870184349375263,0.240099192905102,16.0740740740741,0.277712118092066,"log-linear","ci","tuned"
"38",NA,0.269325595150368,0.175003611927643,0.397637599590938,21.2777777777778,0.384992231140398,"log-linear","ci","tuned"
"39",NA,0.458791811197353,0.327987352081381,0.601296050651456,31.6481481481481,0.492272344188731,"log-linear","ci","tuned"
"40",NA,0.620984889642868,0.489155302470063,0.744794969960864,45.7962962962963,0.599552457237063,"log-linear","ci","tuned"
"41",NA,0.780497752416072,0.674066826556303,0.865848790476485,81.2777777777778,0.706832570285395,"log-linear","ci","tuned"
"42",NA,0.92157067393487,0.867892808681142,0.957632929929371,207.574074074074,0.814112683333727,"log-linear","ci","tuned"
"43",NA,0.98913287450874,0.9773990984892,0.995195764805395,2234.40740740741,0.92139279638206,"log-linear","ci","tuned"
"44",NA,0.998827160493827,0.985671916440285,0.999901184114876,299.648148148148,0.987516426453113,"log-linear","ci","tuned"
"45",NA,0.000493827160493827,1.25020936767112e-05,0.0131410157837416,0.148148148148148,0.00458740832673689,"trafo","ci","equal"
"46",NA,0.00641862596161534,0.00352884868470549,0.0137205130913839,17.2962962962963,0.0626846268174363,"trafo","ci","equal"
