"lwr","med","upr","metric","mod","method"
0.0734913988182822,0.0775888852530437,0.0816061429041825,"nll","ci","linear"
0.0152479503646891,0.016360367774152,0.017466013398272,"brier","ci","linear"
0.17791001150752,0.193339512976779,0.208091603347995,"eauc","ci","linear"
0.0159643556479004,0.017185356992758,0.0184047136294804,"eacc","ci","linear"
-0.184016624176878,-0.10850230746623,-0.039325236900368,"cint","ci","linear"
1.64934630522299,1.77442879741397,1.90695018515882,"cslope","ci","linear"
-0.0101497849720144,-0.00605229853725284,-0.002035040886114,"dnll","ci","linear"
-0.00138789770064554,-0.000275480291182698,0.000830165332937369,"dbrier","ci","linear"
-0.168214134305759,-0.1527846328365,-0.138032542465283,"deauc","ci","linear"
-0.00112578349305547,9.52178518021287e-05,0.0013145744885246,"deacc","ci","linear"
