"lwr","med","upr","metric","mod","method"
0.0729645927335064,0.0774346530559759,0.0821710071005162,"nll","ci","log-linear"
0.015307042366192,0.0164384964731251,0.0176229145558245,"brier","ci","log-linear"
0.187438943152747,0.203260128721745,0.221325755083765,"eauc","ci","log-linear"
0.0161644323477952,0.0173939932341288,0.0186851030160354,"eacc","ci","log-linear"
-0.0596362530607141,0.0165740936478232,0.0952231612108054,"cint","ci","log-linear"
1.17379494824281,1.26973291715728,1.37023814359617,"cslope","ci","log-linear"
-0.0109403176155583,-0.00647025729308882,-0.00173390324854854,"dnll","ci","log-linear"
-0.00132725373856671,-0.000195799631633622,0.000988618451065804,"dbrier","ci","log-linear"
-0.158685202660531,-0.142864017091534,-0.124798390729514,"deauc","ci","log-linear"
-0.000925706793160599,0.000303854093172999,0.00159496387507958,"deacc","ci","log-linear"
