"metric","topn","val","method","spl"
"qwk",4,-0.00116956621624453,"log-linear",1
"eqwk",4,1.00116956621624,"log-linear",1
"acc",5,0.982607380520266,"log-linear",1
"binacc",5,0.982607380520266,"log-linear",1
"eacc",5,0.0173926194797338,"log-linear",1
"ebinacc",5,0.0173926194797338,"log-linear",1
"nll",5,0.0784235289564534,"log-linear",1
"binnll",5,0.0784235289564534,"log-linear",1
"rps",5,0.0164607301310673,"log-linear",1
"cint",5,-0.154022893058742,"log-linear",1
"cslope",5,1.07589783728878,"log-linear",1
"brier",5,0.0164607301310673,"log-linear",1
"auc",5,0.775923076923077,"log-linear",1
"eauc",5,0.224076923076923,"log-linear",1
"qwk",5,-0.000884550379882665,"log-linear",1
"eqwk",5,1.00088455037988,"log-linear",1
"acc",1,0.982153660012099,"trafo",1
"binacc",1,0.982153660012099,"trafo",1
"eacc",1,0.0178463399879008,"trafo",1
"ebinacc",1,0.0178463399879008,"trafo",1
"nll",1,0.0783419806102382,"trafo",1
"binnll",1,0.0783419806102382,"trafo",1
"rps",1,0.0167408246806072,"trafo",1
"cint",1,-0.173165257590014,"trafo",1
"cslope",1,0.831807242398921,"trafo",1
"brier",1,0.0167408246806072,"trafo",1
"auc",1,0.782887362637363,"trafo",1
"eauc",1,0.217112637362637,"trafo",1
"qwk",1,-0.00172557236619109,"trafo",1
"eqwk",1,1.00172557236619,"trafo",1
"acc",2,0.982456140350877,"trafo",1
"binacc",2,0.982456140350877,"trafo",1
"eacc",2,0.0175438596491229,"trafo",1
"ebinacc",2,0.0175438596491229,"trafo",1
"nll",2,0.0784696520562701,"trafo",1
"binnll",2,0.0784696520562701,"trafo",1
"rps",2,0.016533317789942,"trafo",1
"cint",2,-0.113122482911499,"trafo",1
"cslope",2,0.924116117428543,"trafo",1
"brier",2,0.016533317789942,"trafo",1
"auc",2,0.762450549450549,"trafo",1
"eauc",2,0.237549450549451,"trafo",1
"qwk",2,0.0152528271654392,"trafo",1
"eqwk",2,0.984747172834561,"trafo",1
"acc",3,0.982456140350877,"trafo",1
"binacc",3,0.982456140350877,"trafo",1
"eacc",3,0.0175438596491229,"trafo",1
"ebinacc",3,0.0175438596491229,"trafo",1
"nll",3,0.0783830210169751,"trafo",1
"binnll",3,0.0783830210169751,"trafo",1
"rps",3,0.01648166060343,"trafo",1
"cint",3,-0.0328543315705526,"trafo",1
"cslope",3,0.961188329930255,"trafo",1
"brier",3,0.01648166060343,"trafo",1
"auc",3,0.770027472527473,"trafo",1
"eauc",3,0.229972527472527,"trafo",1
"qwk",3,-0.00116956621624453,"trafo",1
"eqwk",3,1.00116956621624,"trafo",1
"acc",4,0.982607380520266,"trafo",1
"binacc",4,0.982607380520266,"trafo",1
"eacc",4,0.0173926194797338,"trafo",1
"ebinacc",4,0.0173926194797338,"trafo",1
"nll",4,0.0782042368346354,"trafo",1
"binnll",4,0.0782042368346354,"trafo",1
"rps",4,0.0164128714737059,"trafo",1
"cint",4,-0.0387884758664182,"trafo",1
"cslope",4,1.06504867271684,"trafo",1
"brier",4,0.0164128714737059,"trafo",1
"auc",4,0.773885989010989,"trafo",1
"eauc",4,0.226114010989011,"trafo",1
"qwk",4,-0.000884550379882665,"trafo",1
"eqwk",4,1.00088455037988,"trafo",1
"acc",5,0.982607380520266,"trafo",1
"binacc",5,0.982607380520266,"trafo",1
"eacc",5,0.0173926194797338,"trafo",1
"ebinacc",5,0.0173926194797338,"trafo",1
"nll",5,0.0783904519182599,"trafo",1
"binnll",5,0.0783904519182599,"trafo",1
"rps",5,0.0164055672288944,"trafo",1
"cint",5,-0.0567346072133437,"trafo",1
"cslope",5,1.12845420226744,"trafo",1
"brier",5,0.0164055672288944,"trafo",1
"auc",5,0.773932692307692,"trafo",1
"eauc",5,0.226067307692308,"trafo",1
"qwk",5,-0.000884550379882665,"trafo",1
"eqwk",5,1.00088455037988,"trafo",1
"acc",1,0.982153660012099,"avg",1
"binacc",1,0.982153660012099,"avg",1
"eacc",1,0.0178463399879008,"avg",1
"ebinacc",1,0.0178463399879008,"avg",1
"nll",1,0.0783419806102382,"avg",1
"binnll",1,0.0783419806102382,"avg",1
"rps",1,0.0167408246806072,"avg",1
"cint",1,-0.173165257590014,"avg",1
"cslope",1,0.831807242398921,"avg",1
"brier",1,0.0167408246806072,"avg",1
"auc",1,0.782887362637363,"avg",1
"eauc",1,0.217112637362637,"avg",1
"qwk",1,-0.00172557236619109,"avg",1
"eqwk",1,1.00172557236619,"avg",1
"acc",2,0.982304900181488,"avg",1
"binacc",2,0.982304900181488,"avg",1
"eacc",2,0.0176950998185118,"avg",1
"ebinacc",2,0.0176950998185118,"avg",1
"nll",2,0.0794278098743167,"avg",1
"binnll",2,0.0794278098743167,"avg",1
"rps",2,0.0166637844075638,"avg",1
"cint",2,-0.155162399507061,"avg",1
"cslope",2,0.854338349800159,"avg",1
"brier",2,0.0166637844075638,"avg",1
"auc",2,0.753133928571428,"avg",1
"eauc",2,0.246866071428572,"avg",1
"qwk",2,0.00676362739962405,"avg",1
"eqwk",2,0.993236372600376,"avg",1
"acc",3,0.982405726961081,"avg",1
"binacc",3,0.982405726961081,"avg",1
"eacc",3,0.017594273038919,"avg",1
"ebinacc",3,0.017594273038919,"avg",1
"nll",3,0.0796454427145939,"avg",1
"binnll",3,0.0796454427145939,"avg",1
"rps",3,0.0166257066468013,"avg",1
"cint",3,-0.0898387889880876,"avg",1
"cslope",3,0.850568239113641,"avg",1
"brier",3,0.0166257066468013,"avg",1
"auc",3,0.755146062271062,"avg",1
"eauc",3,0.244853937728938,"avg",1
"qwk",3,0.00421423480645515,"avg",1
"eqwk",3,0.995785765193545,"avg",1
"acc",4,0.982493950393224,"avg",1
"binacc",4,0.982493950393224,"avg",1
"eacc",4,0.0175060496067756,"avg",1
"ebinacc",4,0.0175060496067756,"avg",1
"nll",4,0.0798324486587987,"avg",1
"binnll",4,0.0798324486587987,"avg",1
"rps",4,0.0165749494675913,"avg",1
"cint",4,-0.112954531026832,"avg",1
"cslope",4,0.905367399450911,"avg",1
"brier",4,0.0165749494675913,"avg",1
"auc",4,0.751168612637363,"avg",1
"eauc",4,0.248831387362637,"avg",1
"qwk",4,0.00301200090705026,"avg",1
"eqwk",4,0.99698799909295,"avg",1
"acc",5,0.982516636418633,"avg",1
"binacc",5,0.982516636418633,"avg",1
"eacc",5,0.0174833635813672,"avg",1
"ebinacc",5,0.0174833635813672,"avg",1
"nll",5,0.0802848546873562,"avg",1
"binnll",5,0.0802848546873562,"avg",1
"rps",5,0.0166351821655439,"avg",1
"cint",5,-0.140366973752567,"avg",1
"cslope",5,0.900550790907577,"avg",1
"brier",5,0.0166351821655439,"avg",1
"auc",5,0.750550686813187,"avg",1
"eauc",5,0.249449313186813,"avg",1
"qwk",5,0.00554338731539483,"avg",1
"eqwk",5,0.994456612684605,"avg",1
"acc",1,0.983061101028433,"linear",2
"binacc",1,0.983061101028433,"linear",2
"eacc",1,0.0169388989715669,"linear",2
"ebinacc",1,0.0169388989715669,"linear",2
"nll",1,0.0765419399384016,"linear",2
"binnll",1,0.0765419399384016,"linear",2
