"lwr","med","upr","metric","mod","method"
0.0744487025177145,0.0775368096864412,0.080372751987949,"nll","cils","avg"
0.0154505761422441,0.0161594851491435,0.016845302737346,"brier","cils","avg"
0.232103782866811,0.243780425907568,0.256844689704486,"eauc","cils","avg"
0.0165903175408576,0.0173610926499148,0.01814803854013,"eacc","cils","avg"
-0.0726508424370026,-0.021680336208801,0.0274650954810518,"cint","cils","avg"
0.816057363904942,0.856455316266384,0.897269313884481,"cslope","cils","avg"
-0.00945620783135024,-0.00636810066262355,-0.00353215836111572,"dnll","cils","avg"
-0.00118371996251459,-0.000474810955615258,0.000211006632587318,"dbrier","cils","avg"
-0.114020362946468,-0.10234371990571,-0.0892794561087923,"deauc","cils","avg"
-0.000499821600098264,0.000270953508958925,0.00105789939917413,"deacc","cils","avg"
