"lwr","med","upr","metric","mod","method"
0.0759896206887463,0.0782619863283403,0.0803594975663863,"nll","cils","avg"
0.0156915251568908,0.0162103394133054,0.016698584919871,"brier","cils","avg"
0.243248626234476,0.25290817216409,0.262331903300826,"eauc","cils","avg"
0.0167039528657479,0.0172750592398652,0.0178192315438404,"eacc","cils","avg"
-0.122556895847754,-0.0870776231050411,-0.0537082073812817,"cint","cils","avg"
0.837686226762946,0.871823376258435,0.908646584086831,"cslope","cils","avg"
-0.00791528966031842,-0.00564292402072438,-0.00354541278267844,"dnll","cils","avg"
-0.000942770947867956,-0.000423956691453354,6.42888151123187e-05,"dbrier","cils","avg"
-0.102875519578802,-0.0932159736491888,-0.0837922425124522,"deauc","cils","avg"
-0.000386186275207923,0.000184920098909323,0.000729092402884551,"deacc","cils","avg"
