"lwr","med","upr","metric","mod","method"
0.0716493024393561,0.075814615095341,0.0799296890906851,"nll","cils","log-linear"
0.0149870205958759,0.0160949726927178,0.0172397561991398,"brier","cils","log-linear"
0.198653333051707,0.217207124481688,0.236006998068886,"eauc","cils","log-linear"
0.0159064938738513,0.0171437373697511,0.0184497371933168,"eacc","cils","log-linear"
-0.213759773469792,-0.133905786590948,-0.0600566324962635,"cint","cils","log-linear"
1.17576123245822,1.27353117590785,1.37360265391767,"cslope","cils","log-linear"
-0.0119918813509404,-0.00782656869495552,-0.00371149469961147,"dnll","cils","log-linear"
-0.00164882746945871,-0.000540875372616809,0.000603908133805118,"dbrier","cils","log-linear"
-0.147470812761571,-0.12891702133159,-0.110117147744392,"deauc","cils","log-linear"
-0.00118364526710452,5.35982287952584e-05,0.00135959805236094,"deacc","cils","log-linear"
