"lwr","med","upr","metric","mod","method"
0.0728195052768592,0.0773727554151196,0.0820396713131477,"nll","ci","trafo"
0.0151954670821514,0.0163771601420798,0.0175784805337061,"brier","ci","trafo"
0.178283520481286,0.193796884591689,0.210897962670946,"eauc","ci","trafo"
0.0158858923177176,0.0171628945681577,0.0184615478081603,"eacc","ci","trafo"
-0.0982111725632368,-0.0159095091237839,0.06052264620345,"cint","ci","trafo"
1.6710999693093,1.83451135027021,1.98836484610773,"cslope","ci","trafo"
-0.0108216785134374,-0.00626842837517691,-0.00160151247714882,"dnll","ci","trafo"
-0.00144038098318324,-0.000258687923254814,0.000942632468371428,"dbrier","ci","trafo"
-0.167840625331993,-0.152327261221589,-0.135226183142333,"deauc","ci","trafo"
-0.00120424682323826,7.27554272018377e-05,0.00137140866720443,"deacc","ci","trafo"
