"","bin","prop","lwr","upr","cases","midpoint","method","mod","weights"
"1",NA,0.00327687033676144,0.00166087913326648,0.0058507955400237,10.8333333333333,0.00730177976660074,"linear","ci","equal"
"2",NA,0.0206127080181543,0.0155446652231222,0.0267772864267212,54.5,0.0219111494124349,"linear","ci","equal"
"3",NA,0.0605042016806723,0.0427575108235481,0.0827583524171591,36,0.051387815078732,"linear","ci","equal"
"4",NA,0.175,0.0902739361098942,0.293721177885955,10.5,0.132576710545015,"linear","ci","equal"
"5",NA,0.166666666666667,0.0140360038229788,0.594157376813317,1.16666666666667,0.595798265112117,"linear","ci","equal"
"6",NA,0.00665456745311555,0.00419582720842454,0.0100383221491058,22,0.00542085296245745,"linear","cils","equal"
"7",NA,0.0145612708018154,0.0103762376580347,0.0198663610838371,38.5,0.0250092459099095,"linear","cils","equal"
"8",NA,0.0619047619047619,0.043978685959964,0.0843226230096219,36.8333333333333,0.0880262420190837,"linear","cils","equal"
"9",NA,0.227777777777778,0.131943410953373,0.351944323550534,13.6666666666667,0.220589448864995,"linear","cils","equal"
"10",NA,0.285714285714286,0.0513423759022121,0.695041778455468,2,0.652151599793364,"linear","cils","equal"
"11",NA,0.00342811050615043,0.00176398764051171,0.00604761541916458,11.3333333333333,0.00610989971742438,"linear","ci","tuned"
"12",NA,0.0209909228441755,0.0158796887427437,0.0271975581451042,55.5,0.0202680012146903,"linear","ci","tuned"
"13",NA,0.0574229691876751,0.0401854053499578,0.0792066389432206,34.1666666666667,0.0572762993844941,"linear","ci","tuned"
"14",NA,0.180555555555556,0.0944031466091894,0.300100211049424,10.8333333333333,0.160074695733876,"linear","ci","tuned"
"15",NA,0.166666666666667,0.0238169063903991,0.583701126193162,1.16666666666667,0.616956497846647,"linear","ci","tuned"
"16",NA,0.00604960677555959,0.00371662951821583,0.00931134445727892,20,0.00469712278900491,"linear","cils","tuned"
"17",NA,0.0148764498234997,0.0106372690449732,0.0202341394254477,39.3333333333333,0.0230922173515829,"linear","cils","tuned"
"18",NA,0.0644257703081232,0.0460797554395854,0.0872319409475633,38.3333333333333,0.0892805867944889,"linear","cils","tuned"
"19",NA,0.219444444444444,0.123987349811077,0.344025308106987,13.1666666666667,0.248348465695696,"linear","cils","tuned"
"20",NA,0.30952380952381,0.0519440920458622,0.723226245091834,2.16666666666667,0.677462973463785,"linear","cils","tuned"
"21",NA,0.00327687033676144,0.00166087913326648,0.0058507955400237,10.8333333333333,0.00730971448598081,"log-linear","ci","equal"
"22",NA,0.0206127080181543,0.0155446652231222,0.0267772864267212,54.5,0.0219471834875079,"log-linear","ci","equal"
"23",NA,0.0602240896358543,0.0425185829537604,0.0824403752448276,35.8333333333333,0.0518465804838711,"log-linear","ci","equal"
"24",NA,0.177777777777778,0.0924197530996167,0.296830470374848,10.6666666666667,0.14103584223369,"log-linear","ci","equal"
"25",NA,0.166666666666667,0.0140360038229788,0.594157376813317,1.16666666666667,0.603826730751346,"log-linear","ci","equal"
"26",NA,0.00665456745311555,0.00419582720842454,0.0100383221491058,22,0.00542629467704866,"log-linear","cils","equal"
"27",NA,0.0146243066061523,0.0104295833447926,0.0199388288852433,38.6666666666667,0.0250910249632879,"log-linear","cils","equal"
"28",NA,0.0627450980392157,0.0446856106859757,0.0852860556932,37.3333333333333,0.0891496468971809,"log-linear","cils","equal"
