"w.1","w.2","w.3","w.4","w.5","spl","method"
0.300415818265349,0.426333198079013,0.0337001688004927,0.0589653178862599,0.180585496968885,1,"linear"
0.0458867461329331,0,0,0.445933677399681,0.508179576467386,2,"linear"
0,0.519377402492796,0.0272104014405728,0.196577115175581,0.25683508089105,3,"linear"
0.39057671678058,0.338131182608923,0,0.271292100610496,0,4,"linear"
0.591288195712307,0.219510102916485,0.189201701371209,0,0,5,"linear"
0.37948175613727,0.184028778809905,0,0.329673070301584,0.10681639475124,6,"linear"
0.264725194643018,0.413584414260597,0.153876044995077,0.0453370632810316,0.122477282820276,1,"log-linear"
0,0,0,0.50810816085365,0.49189183914635,2,"log-linear"
0,0.497607169462915,0.0382006781543419,0.18355620060556,0.280635951777183,3,"log-linear"
0.390955891768663,0.339033304644467,0,0.27001080358687,0,4,"log-linear"
0.56672120842897,0.264783333668019,0.168495457903011,0,0,5,"log-linear"
0.130468673872266,0.29863764744524,0,0.280113638409677,0.290780040272817,6,"log-linear"
0.37433679859529,0.409739408741956,0,0.00306446455371838,0.212859328109035,1,"trafo"
0.104214578639121,0,0,0.360793415278567,0.534992006082312,2,"trafo"
0,0.614939068313084,0,0.278062199573303,0.106998732113613,3,"trafo"
0.299496254859416,0.419348731094464,0,0.28115501404612,0,4,"trafo"
0.660062095182336,0.138703982945117,0.119839411798995,0.0813945100735523,0,5,"trafo"
0.329921165344944,0.126197859382561,0,0.495090321289115,0.0487906539833805,6,"trafo"
