"metric","ens","val","spl"
"acc",1,0.982758620689655,1
"acc",2,0.982607380520266,1
"acc",3,0.982456140350877,1
"acc",4,0.982153660012099,1
"acc",5,0.982607380520266,1
"binacc",1,0.982758620689655,1
"binacc",2,0.982607380520266,1
"binacc",3,0.982456140350877,1
"binacc",4,0.982153660012099,1
"binacc",5,0.982607380520266,1
"eacc",1,0.0172413793103449,1
"eacc",2,0.0173926194797338,1
"eacc",3,0.0175438596491229,1
"eacc",4,0.0178463399879008,1
"eacc",5,0.0173926194797338,1
"ebinacc",1,0.0172413793103449,1
"ebinacc",2,0.0173926194797338,1
"ebinacc",3,0.0175438596491229,1
"ebinacc",4,0.0178463399879008,1
"ebinacc",5,0.0173926194797338,1
"nll",1,0.0803934664914131,1
"nll",2,0.0820944788015861,1
"nll",3,0.0805136391383953,1
"nll",4,0.0783419806102382,1
"nll",5,0.0800807083951482,1
"binnll",1,0.0803934664914131,1
"binnll",2,0.0820944788015861,1
"binnll",3,0.0805136391383953,1
"binnll",4,0.0783419806102382,1
"binnll",5,0.0800807083951482,1
"rps",1,0.0164226779299613,1
"rps",2,0.0168761129573544,1
"rps",3,0.0165867441345203,1
"rps",4,0.0167408246806072,1
"rps",5,0.0165495511252763,1
"cint",1,-0.182301757143066,1
"cint",2,-0.250016744655507,1
"cint",3,-0.137159541424109,1
"cint",4,-0.173165257590014,1
"cint",5,0.0408084320498601,1
"cslope",1,1.06976488046272,1
"cslope",2,0.881284356734239,1
"cslope",3,0.876869457201397,1
"cslope",4,0.831807242398921,1
"cslope",5,0.843028017740605,1
"brier",1,0.0164226779299613,1
"brier",2,0.0168761129573544,1
"brier",3,0.0165867441345203,1
"brier",4,0.0167408246806072,1
"brier",5,0.0165495511252763,1
"auc",1,0.739236263736264,1
"auc",2,0.748078983516483,1
"auc",3,0.723380494505494,1
"auc",4,0.782887362637363,1
"auc",5,0.75917032967033,1
"eauc",1,0.260763736263736,1
"eauc",2,0.251921016483517,1
"eauc",3,0.276619505494506,1
"eauc",4,0.217112637362637,1
"eauc",5,0.24082967032967,1
"qwk",1,-0.000594700791164415,1
"qwk",2,0.0156689329487731,1
"qwk",3,0.0152528271654392,1
"qwk",4,-0.00172557236619109,1
"qwk",5,-0.000884550379882665,1
"eqwk",1,1.00059470079116,1
"eqwk",2,0.984331067051227,1
"eqwk",3,0.984747172834561,1
"eqwk",4,1.00172557236619,1
"eqwk",5,1.00088455037988,1
"acc",1,0.983061101028433,2
"acc",2,0.982909860859044,2
"acc",3,0.983212341197822,2
"acc",4,0.983061101028433,2
"acc",5,0.983061101028433,2
"binacc",1,0.983061101028433,2
"binacc",2,0.982909860859044,2
"binacc",3,0.983212341197822,2
"binacc",4,0.983061101028433,2
"binacc",5,0.983061101028433,2
"eacc",1,0.0169388989715669,2
"eacc",2,0.0170901391409558,2
"eacc",3,0.0167876588021778,2
"eacc",4,0.0169388989715669,2
"eacc",5,0.0169388989715669,2
"ebinacc",1,0.0169388989715669,2
"ebinacc",2,0.0170901391409558,2
"ebinacc",3,0.0167876588021778,2
"ebinacc",4,0.0169388989715669,2
"ebinacc",5,0.0169388989715669,2
"nll",1,0.0812573966193485,2
"nll",2,0.0810390443282859,2
"nll",3,0.079037817010261,2
"nll",4,0.0813813001029029,2
"nll",5,0.0765419399384016,2
"binnll",1,0.0812573966193485,2
"binnll",2,0.0810390443282859,2
"binnll",3,0.079037817010261,2
"binnll",4,0.0813813001029029,2
"binnll",5,0.0765419399384016,2
"rps",1,0.0164122789446649,2
"rps",2,0.0164199172556444,2
"rps",3,0.0161768388787256,2
"rps",4,0.0164152184702643,2
"rps",5,0.0161772875920751,2
"cint",1,-0.0223895781445047,2
"cint",2,-0.326546972278238,2
"cint",3,-0.187215949941457,2
"cint",4,-0.21609048408067,2
"cint",5,-0.0505036773896619,2
"cslope",1,0.995117714045449,2
"cslope",2,1.13387524665597,2
"cslope",3,1.84248683111387,2
"cslope",4,1.0155205150796,2
"cslope",5,1.15525936522462,2
"brier",1,0.0164122789446649,2
"brier",2,0.0164199172556444,2
"brier",3,0.0161768388787256,2
"brier",4,0.0164152184702643,2
"brier",5,0.0161772875920751,2
"auc",1,0.713617170469962,2
"auc",2,0.77616887769172,2
"auc",3,0.792339640055376,2
"auc",4,0.71469254210371,2
"auc",5,0.783314001588113,2
"eauc",1,0.286382829530038,2
"eauc",2,0.22383112230828,2
"eauc",3,0.207660359944624,2
"eauc",4,0.28530745789629,2
"eauc",5,0.216685998411887,2
"qwk",1,-0.000299869516237505,2
"qwk",2,-0.000594606756018523,2
"qwk",3,0,2
"qwk",4,-0.000299869516237505,2
"qwk",5,-0.000299869516237505,2
"eqwk",1,1.00029986951624,2
"eqwk",2,1.00059460675602,2
"eqwk",3,1,2
"eqwk",4,1.00029986951624,2
"eqwk",5,1.00029986951624,2
"acc",1,0.981397459165154,3
"acc",2,0.981397459165154,3
"acc",3,0.981246218995765,3
"acc",4,0.980792498487598,3
"acc",5,0.980943738656987,3
"binacc",1,0.981397459165154,3
"binacc",2,0.981397459165154,3
"binacc",3,0.981246218995765,3
"binacc",4,0.980792498487598,3
"binacc",5,0.980943738656987,3
"eacc",1,0.0186025408348457,3
"eacc",2,0.0186025408348457,3
"eacc",3,0.0187537810042347,3
"eacc",4,0.0192075015124017,3
"eacc",5,0.0190562613430127,3
"ebinacc",1,0.0186025408348457,3
"ebinacc",2,0.0186025408348457,3
"ebinacc",3,0.0187537810042347,3
"ebinacc",4,0.0192075015124017,3
"ebinacc",5,0.0190562613430127,3
"nll",1,0.0826247653418795,3
"nll",2,0.0843972118341738,3
"nll",3,0.0859770404279643,3
"nll",4,0.0816101048065853,3
"nll",5,0.0817149258416278,3
"binnll",1,0.0826247653418795,3
"binnll",2,0.0843972118341738,3
"binnll",3,0.0859770404279643,3
"binnll",4,0.0816101048065853,3
"binnll",5,0.0817149258416278,3
"rps",1,0.017562116388361,3
"rps",2,0.0176751552713228,3
"rps",3,0.0180687092128908,3
"rps",4,0.0177572754278439,3
"rps",5,0.0177623833123454,3
"cint",1,-0.054017608813772,3
"cint",2,-0.0438644833544114,3
"cint",3,0.198027999613371,3
"cint",4,0.295450228902472,3
"cint",5,0.50331765915818,3
"cslope",1,1.2862045103663,3
"cslope",2,1.13041648869439,3
"cslope",3,0.986769092426531,3
"cslope",4,1.08908554397877,3
"cslope",5,0.939021695322293,3
"brier",1,0.017562116388361,3
"brier",2,0.0176751552713228,3
"brier",3,0.0180687092128908,3
"brier",4,0.0177572754278439,3
"brier",5,0.0177623833123454,3
"auc",1,0.771990957084039,3
"auc",2,0.756299729722903,3
"auc",3,0.789129556189851,3
"auc",4,0.815385586905453,3
"auc",5,0.811801257925181,3
"eauc",1,0.228009042915961,3
"eauc",2,0.243700270277097,3
"eauc",3,0.210870443810149,3
"eauc",4,0.184614413094547,3
"eauc",5,0.188198742074819,3
"qwk",1,-0.000300111188735519,3
"qwk",2,0.0151277356351905,3
"qwk",3,0.0147187478969784,3
"qwk",4,-0.00145497218856439,3
"qwk",5,0.0139192682441838,3
"eqwk",1,1.00030011118874,3
"eqwk",2,0.984872264364809,3
"eqwk",3,0.985281252103022,3
"eqwk",4,1.00145497218856,3
"eqwk",5,0.986080731755816,3
"acc",1,0.983363581367211,4
"acc",2,0.983363581367211,4
"acc",3,0.983212341197822,4
"acc",4,0.983363581367211,4
"acc",5,0.983363581367211,4
"binacc",1,0.983363581367211,4
"binacc",2,0.983363581367211,4
"binacc",3,0.983212341197822,4
"binacc",4,0.983363581367211,4
"binacc",5,0.983363581367211,4
"eacc",1,0.0166364186327889,4
"eacc",2,0.0166364186327889,4
"eacc",3,0.0167876588021778,4
"eacc",4,0.0166364186327889,4
"eacc",5,0.0166364186327889,4
"ebinacc",1,0.0166364186327889,4
"ebinacc",2,0.0166364186327889,4
"ebinacc",3,0.0167876588021778,4
"ebinacc",4,0.0166364186327889,4
"ebinacc",5,0.0166364186327889,4
"nll",1,0.078925387931386,4
"nll",2,0.0818800239259063,4
"nll",3,0.0772260390634353,4
"nll",4,0.0766440551806998,4
"nll",5,0.0752621719035261,4
