"lwr","med","upr","metric","mod","method"
0.0782842718953771,0.08023710520592,0.0821926542298761,"nll","ci","avg"
0.0160813906511412,0.0165790245232562,0.0170753207285029,"brier","ci","avg"
0.234032637757492,0.242425411083922,0.250173445460132,"eauc","ci","avg"
0.0167614983625922,0.0173252779095783,0.0178434189130102,"eacc","ci","avg"
-0.0859506183191255,-0.0523457994059664,-0.0200384877074161,"cint","ci","avg"
1.30164713189483,1.36153413058862,1.42876203103427,"cslope","ci","avg"
-0.00562063845368762,-0.00366780514314471,-0.00171225611918861,"dnll","ci","avg"
-0.000552905453617479,-5.52715815024998e-05,0.000441024623744173,"dbrier","ci","avg"
-0.112091508055786,-0.103698734729357,-0.0959507003531466,"deauc","ci","avg"
-0.000328640778363607,0.000235138768622498,0.000753279772054373,"deacc","ci","avg"
