"lwr","med","upr","metric","mod","method"
0.0772667136158528,0.0791962608264809,0.0813132032059993,"nll","ci","avg"
0.0159597707598233,0.0164624240302013,0.0170019519116653,"brier","ci","avg"
0.21648370594873,0.223648865042979,0.230901343471295,"eauc","ci","avg"
0.0166204354665603,0.0171539868150211,0.0177406547169003,"eacc","ci","avg"
-0.133126876251645,-0.100679673163592,-0.0664297557481517,"cint","ci","avg"
5.96962791950076,7.13396562290967,8.30781301487038,"cslope","ci","avg"
-0.00637447017444376,-0.00444492296381562,-0.00232798058429726,"dnll","ci","avg"
-0.00067607730551133,-0.000173424035133345,0.000366103846330605,"dbrier","ci","avg"
-0.129640439864548,-0.1224752807703,-0.115222802341983,"deauc","ci","avg"
-0.000469703674395524,6.38476740652304e-05,0.000650515575944476,"deacc","ci","avg"
