"lwr","med","upr","metric","mod","method"
0.945368329704556,0.950253956736387,0.955250484499616,"nll","cils","avg"
0.0546604254907639,0.0550088432029082,0.0553583176539843,"rps","cils","avg"
0.123526549078635,0.125319297401552,0.126998879973514,"eqwk","cils","avg"
0.380777621531234,0.383100080668116,0.38559233701018,"eacc","cils","avg"
0.596648129401969,0.610271120661414,0.624986518421611,"cint","cils","avg"
0.989970703188816,0.99797410817601,1.00595080189926,"cslope","cils","avg"
-0.61095641500404,-0.606070787972208,-0.601074260208979,"dnll","cils","avg"
-0.0641705668277482,-0.0638221491156039,-0.0634726746645279,"drps","cils","avg"
-0.464288310063379,-0.462495561740462,-0.4608159791685,"deqwk","cils","avg"
-0.246445889682996,-0.244123430546114,-0.24163117420405,"deacc","cils","avg"
