"lwr","med","upr","metric","mod","method"
1.02309362319604,1.02779373899486,1.03201062311853,"nll","ci","avg"
0.0619300413081131,0.062316386632259,0.0626591088956062,"rps","ci","avg"
0.158731105208767,0.16097695881807,0.163132853966647,"eqwk","ci","avg"
0.407364200101066,0.409888051380411,0.412329026773975,"eacc","ci","avg"
0.665223441720422,0.677649971685111,0.689813143275792,"cint","ci","avg"
1.27205928352045,1.28286821207582,1.29348946474437,"cslope","ci","avg"
-0.533231121512555,-0.528531005713733,-0.524314121590063,"dnll","ci","avg"
-0.0569009510103991,-0.0565146056862531,-0.0561718834229059,"drps","ci","avg"
-0.429083753933247,-0.426837900323943,-0.424682005175367,"deqwk","ci","avg"
-0.219859311113164,-0.217335459833819,-0.214894484440256,"deacc","ci","avg"
