"lwr","med","upr","metric","mod","method"
1.00161021801302,1.00847493945341,1.01519671425935,"nll","ci","avg"
0.0558475688812346,0.0562569170413273,0.0566508113031297,"rps","ci","avg"
0.126603395577995,0.12858634005898,0.130612496567926,"eqwk","ci","avg"
0.382408991881888,0.384977139972891,0.387697219648682,"eacc","ci","avg"
0.526139581990501,0.542665612618268,0.560464708637179,"cint","ci","avg"
0.831607116448609,0.840110566903404,0.848919482963329,"cslope","ci","avg"
-0.561339692434254,-0.554474970993862,-0.547753196187922,"dnll","ci","avg"
-0.0629988690326764,-0.0625895208725837,-0.0621956266107813,"drps","ci","avg"
-0.443959715945991,-0.441976771465007,-0.43995061495606,"deqwk","ci","avg"
-0.246677698689721,-0.244109550598718,-0.241389470922927,"deacc","ci","avg"
