"w.1","w.2","w.3","w.4","w.5","spl","method"
0,0.297913425730336,0,0.334423452609614,0.36766312166005,1,"linear"
0.100575127913566,0.170912230192207,0.285790291441575,0.317442614875852,0.1252797355768,2,"linear"
0.029892804487924,0.0407802246637856,0.294527758555022,0.221735080439347,0.413064131853921,3,"linear"
0,0.374397227931645,0.0961476671627653,0.291964944424807,0.237490160480783,4,"linear"
0.110053848540324,0.228663556120494,0.319013727609956,0.225402106497676,0.11686676123155,5,"linear"
0.039116438984489,0.289687970096214,0.364002631929422,0,0.307192958989875,6,"linear"
0,0.28031200263364,0,0.421296838853948,0.298391158512411,1,"log-linear"
0.139825308140358,0.204716993618462,0.303712761062253,0.245378477757918,0.106366459421009,2,"log-linear"
0.0683756903229413,0.014317021888739,0.314600461001239,0.2002228227619,0.402484004025181,3,"log-linear"
0.0238806757060062,0.297837074560905,0.0905077524219814,0.299912774551342,0.287861722759765,4,"log-linear"
0.0916364768734089,0.281878381790571,0.303170945520413,0.226647850752579,0.0966663450630282,5,"log-linear"
0.0342313212496481,0.252301339502585,0.369154329339761,0,0.344313009908006,6,"log-linear"
0,0.303655268186273,0,0.300389030738835,0.395955701074892,1,"trafo"
0.0847131114727202,0.172043172932649,0.293122183187795,0.326960033084677,0.123161499322159,2,"trafo"
0.0324589702156521,0.00850178247796307,0.292998399051154,0.261119236917388,0.404921611337843,3,"trafo"
0,0.383635634889373,0.082618530700453,0.324881753152404,0.20886408125777,4,"trafo"
0.0568413475220266,0.220817732271424,0.342004617692927,0.273118795694096,0.107217506819527,5,"trafo"
0.00585539991184392,0.35132852166213,0.377173792296683,0,0.265642286129343,6,"trafo"
