"lwr","med","upr","metric","mod","method"
0.878965218942694,0.888769577921471,0.899161238020446,"nll","ci","linear"
0.0494308942450863,0.0501242385619463,0.0508285940777165,"rps","ci","linear"
0.108714734879445,0.112530311779254,0.116342188841293,"eqwk","ci","linear"
0.354747796384373,0.359895437152608,0.365080056631484,"eacc","ci","linear"
0.454160557149684,0.482588403567058,0.513968309068794,"cint","ci","linear"
1.07808242550563,1.10167648789246,1.12570316857084,"cslope","ci","linear"
-0.68398469150458,-0.674180332525802,-0.663788672426827,"dnll","ci","linear"
-0.0694155436688247,-0.0687221993519647,-0.0680178438361945,"drps","ci","linear"
-0.461848376644541,-0.458032799744732,-0.454220922682693,"deqwk","ci","linear"
-0.274338894187236,-0.269191253419001,-0.264006633940126,"deacc","ci","linear"
