"lwr","med","upr","metric","mod","method"
0.847520428682982,0.858954586637256,0.870471343364559,"nll","cils","linear"
0.0470227103864974,0.047758851481485,0.0484266222080066,"rps","cils","linear"
0.0954929286718221,0.0987165153934253,0.101935054416449,"eqwk","cils","linear"
0.338966114240608,0.344369228250339,0.349734906770374,"eacc","cils","linear"
0.447535476086762,0.478069007274654,0.509641180785418,"cint","cils","linear"
1.00799168185498,1.02654087988868,1.04745962356713,"cslope","cils","linear"
-0.715429481764291,-0.703995323810018,-0.692478567082714,"dnll","cils","linear"
-0.0718237275274136,-0.071087586432426,-0.0704198157059044,"drps","cils","linear"
-0.475070182852164,-0.471846596130561,-0.468628057107537,"deqwk","cils","linear"
-0.290120576331001,-0.284717462321271,-0.279351783801236,"deacc","cils","linear"
