"lwr","med","upr","metric","mod","method"
0.862422294196299,0.874010544613514,0.886834973718152,"nll","cils","trafo"
0.0471250786781286,0.0478331687825518,0.0485549545847582,"rps","cils","trafo"
0.0946183965385498,0.0977974925617438,0.100985010854055,"eqwk","cils","trafo"
0.340681772403079,0.346124838392944,0.351824157735591,"eacc","cils","trafo"
0.459059971853232,0.496255859301895,0.531348571873072,"cint","cils","trafo"
0.866157558393189,0.882104147431919,0.898565054715762,"cslope","cils","trafo"
-0.700527616250974,-0.688939365833759,-0.676114936729122,"dnll","cils","trafo"
-0.0717213592357824,-0.0710132691313592,-0.0702914833291528,"drps","cils","trafo"
-0.475944714985436,-0.472765618962242,-0.469578100669931,"deqwk","cils","trafo"
-0.288404918168531,-0.282961852178665,-0.277262532836019,"deacc","cils","trafo"
