"lwr","med","upr","metric","mod","method"
0.88993560032827,0.902031868666154,0.914297542418914,"nll","ci","trafo"
0.0495072401760723,0.0502296041357172,0.0510371042038143,"rps","ci","trafo"
0.10685993466961,0.110076784499379,0.113926987286571,"eqwk","ci","trafo"
0.357524327129427,0.362872477623894,0.368380729200128,"eacc","ci","trafo"
0.455885983677856,0.490290412381129,0.526990902381982,"cint","ci","trafo"
0.923669389386518,0.945267737470483,0.965279108881413,"cslope","ci","trafo"
-0.673014310119003,-0.660918041781119,-0.648652368028359,"dnll","ci","trafo"
-0.0693391977378387,-0.0686168337781938,-0.0678093337100967,"drps","ci","trafo"
-0.463703176854376,-0.460486327024607,-0.456636124237415,"deqwk","ci","trafo"
-0.271562363442183,-0.266214212947715,-0.260705961371481,"deacc","ci","trafo"
