"lwr","med","upr","metric","mod","method"
1.73171673776418,1.73903216390558,1.74646493021323,"nll","si",NA
0.14469842298273,0.146073763918712,0.147398183603782,"rps","si",NA
1,1,1,"eqwk","si",NA
0.656567575989913,0.662249942539838,0.667825432600767,"eacc","si",NA
-0.0159260614369697,0.00494559929205605,0.0269919078537224,"cint","si",NA
NA,NA,NA,"cslope","si",NA
0.17539199305559,0.182707419196981,0.190140185504634,"dnll","si",NA
0.0258674306642178,0.0272427716001998,0.0285671912852694,"drps","si",NA
0.412185140857986,0.412185140857986,0.412185140857986,"deqwk","si",NA
0.0293440647756824,0.0350264313256073,0.0406019213865371,"deacc","si",NA
