"lwr","med","upr","metric","mod","method"
0.858508912018795,0.86881297378594,0.878981949464506,"nll","cils","trafo"
0.0485858988085442,0.0492858678715215,0.0499828844771683,"rps","cils","trafo"
0.100595680933258,0.103920374531977,0.107014961513698,"eqwk","cils","trafo"
0.348317232872673,0.353750537559567,0.359362871534359,"eacc","cils","trafo"
0.503934008762868,0.534418923540634,0.563688040808819,"cint","cils","trafo"
1.0600555272195,1.07932639086588,1.09780378967195,"cslope","cils","trafo"
-0.6978158326898,-0.687511770922655,-0.677342795244089,"dnll","cils","trafo"
-0.0702450935099679,-0.0695451244469906,-0.0688481078413439,"drps","cils","trafo"
-0.487219178208756,-0.483894484610037,-0.480799897628316,"deqwk","cils","trafo"
-0.278906278341558,-0.273472973654663,-0.267860639679871,"deacc","cils","trafo"
